"Angle"	"Energy kJ/mol"	"BondedTermsEnergy"	"NonBondedTermsEnergy"	"BondStretchEnergy"	"AngleStretchEnergy"	"TorsionEnergy"	"OutOfPlaneEnergy"	"DispersionEnergy"	"ElectrostaticEnergy"	"NonBondedEnergyC"	"NonBondedEnergyD"
-60.000000	233.609972	233.609972	0.000000	0.000000	233.609972	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-59.800000	232.293103	232.293103	0.000000	0.000000	232.293103	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-59.600000	230.979023	230.979023	0.000000	0.000000	230.979023	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-59.400000	229.667761	229.667761	0.000000	0.000000	229.667760	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-59.200000	228.359267	228.359267	0.000000	0.000000	228.359267	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-59.000000	227.053559	227.053559	0.000000	0.000000	227.053559	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-58.800000	225.750632	225.750632	0.000000	0.000000	225.750632	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-58.600000	224.450477	224.450477	0.000000	0.000000	224.450477	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-58.400000	223.153094	223.153094	0.000000	0.000000	223.153094	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-58.200000	221.858496	221.858496	0.000000	0.000000	221.858496	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-58.000000	220.566636	220.566636	0.000000	0.000000	220.566636	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-57.800000	219.277550	219.277550	0.000000	0.000000	219.277550	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-57.600000	217.991201	217.991201	0.000000	0.000000	217.991201	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-57.400000	216.707614	216.707614	0.000000	0.000000	216.707614	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-57.200000	215.426781	215.426781	0.000000	0.000000	215.426781	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-57.000000	214.148668	214.148668	0.000000	0.000000	214.148668	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-56.800000	212.873316	212.873316	0.000000	0.000000	212.873316	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-56.600000	211.600721	211.600721	0.000000	0.000000	211.600721	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-56.400000	210.330859	210.330859	0.000000	0.000000	210.330859	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-56.200000	209.063704	209.063704	0.000000	0.000000	209.063704	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-56.000000	207.799308	207.799308	0.000000	0.000000	207.799308	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-55.800000	206.537646	206.537646	0.000000	0.000000	206.537646	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-55.600000	205.278699	205.278699	0.000000	0.000000	205.278699	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-55.400000	204.022495	204.022495	0.000000	0.000000	204.022495	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-55.200000	202.769016	202.769016	0.000000	0.000000	202.769016	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-55.000000	201.518280	201.518280	0.000000	0.000000	201.518280	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-54.800000	200.270247	200.270247	0.000000	0.000000	200.270247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-54.600000	199.024948	199.024948	0.000000	0.000000	199.024948	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-54.400000	197.782392	197.782392	0.000000	0.000000	197.782392	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-54.200000	196.542560	196.542560	0.000000	0.000000	196.542560	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-54.000000	195.305440	195.305440	0.000000	0.000000	195.305440	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-53.800000	194.071068	194.071068	0.000000	0.000000	194.071068	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-53.600000	192.839425	192.839425	0.000000	0.000000	192.839425	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-53.400000	191.610519	191.610519	0.000000	0.000000	191.610519	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-53.200000	190.384344	190.384344	0.000000	0.000000	190.384344	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-53.000000	189.160882	189.160882	0.000000	0.000000	189.160882	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-52.800000	187.940187	187.940187	0.000000	0.000000	187.940187	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-52.600000	186.722217	186.722217	0.000000	0.000000	186.722217	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-52.400000	185.507005	185.507005	0.000000	0.000000	185.507005	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-52.200000	184.294512	184.294512	0.000000	0.000000	184.294512	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-52.000000	183.084758	183.084758	0.000000	0.000000	183.084758	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-51.800000	181.877781	181.877781	0.000000	0.000000	181.877781	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-51.600000	180.673532	180.673532	0.000000	0.000000	180.673532	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-51.400000	179.472059	179.472059	0.000000	0.000000	179.472059	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-51.200000	178.273338	178.273338	0.000000	0.000000	178.273338	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-51.000000	177.077392	177.077392	0.000000	0.000000	177.077392	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-50.800000	175.884186	175.884186	0.000000	0.000000	175.884186	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-50.600000	174.693784	174.693784	0.000000	0.000000	174.693784	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-50.400000	173.506142	173.506142	0.000000	0.000000	173.506142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-50.200000	172.321258	172.321258	0.000000	0.000000	172.321258	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-50.000000	171.139211	171.139211	0.000000	0.000000	171.139211	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-49.800000	169.959915	169.959915	0.000000	0.000000	169.959915	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-49.600000	168.783426	168.783426	0.000000	0.000000	168.783426	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-49.400000	167.609761	167.609761	0.000000	0.000000	167.609761	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-49.200000	166.438878	166.438878	0.000000	0.000000	166.438878	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-49.000000	165.270819	165.270819	0.000000	0.000000	165.270819	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-48.800000	164.105569	164.105569	0.000000	0.000000	164.105569	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-48.600000	162.943163	162.943163	0.000000	0.000000	162.943163	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-48.400000	161.783581	161.783581	0.000000	0.000000	161.783581	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-48.200000	160.626853	160.626853	0.000000	0.000000	160.626853	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-48.000000	159.472930	159.472930	0.000000	0.000000	159.472930	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-47.800000	158.321922	158.321922	0.000000	0.000000	158.321922	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-47.600000	157.173746	157.173746	0.000000	0.000000	157.173746	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-47.400000	156.028448	156.028448	0.000000	0.000000	156.028448	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-47.200000	154.886020	154.886020	0.000000	0.000000	154.886020	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-47.000000	153.746461	153.746461	0.000000	0.000000	153.746461	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-46.800000	152.609830	152.609830	0.000000	0.000000	152.609830	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-46.600000	151.476062	151.476062	0.000000	0.000000	151.476062	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-46.400000	150.345245	150.345245	0.000000	0.000000	150.345245	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-46.200000	149.217339	149.217339	0.000000	0.000000	149.217339	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-46.000000	148.092356	148.092356	0.000000	0.000000	148.092356	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-45.800000	146.970321	146.970321	0.000000	0.000000	146.970321	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-45.600000	145.851237	145.851237	0.000000	0.000000	145.851237	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-45.400000	144.735088	144.735088	0.000000	0.000000	144.735088	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-45.200000	143.621946	143.621946	0.000000	0.000000	143.621946	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-45.000000	142.511733	142.511733	0.000000	0.000000	142.511733	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-44.800000	141.404547	141.404547	0.000000	0.000000	141.404547	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-44.600000	140.300357	140.300357	0.000000	0.000000	140.300357	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-44.400000	139.199153	139.199153	0.000000	0.000000	139.199153	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-44.200000	138.100998	138.100998	0.000000	0.000000	138.100998	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-44.000000	137.005869	137.005869	0.000000	0.000000	137.005869	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-43.800000	135.913763	135.913763	0.000000	0.000000	135.913763	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-43.600000	134.824727	134.824727	0.000000	0.000000	134.824727	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-43.400000	133.738765	133.738765	0.000000	0.000000	133.738765	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-43.200000	132.655861	132.655861	0.000000	0.000000	132.655861	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-43.000000	131.576083	131.576083	0.000000	0.000000	131.576083	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-42.800000	130.499361	130.499361	0.000000	0.000000	130.499361	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-42.600000	129.425771	129.425771	0.000000	0.000000	129.425771	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-42.400000	128.355320	128.355320	0.000000	0.000000	128.355320	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-42.200000	127.287982	127.287982	0.000000	0.000000	127.287982	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-42.000000	126.223853	126.223853	0.000000	0.000000	126.223853	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-41.800000	125.162827	125.162827	0.000000	0.000000	125.162827	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-41.600000	124.105018	124.105018	0.000000	0.000000	124.105018	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-41.400000	123.050384	123.050384	0.000000	0.000000	123.050384	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-41.200000	121.998949	121.998949	0.000000	0.000000	121.998949	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-41.000000	120.950745	120.950745	0.000000	0.000000	120.950745	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-40.800000	119.905777	119.905777	0.000000	0.000000	119.905777	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-40.600000	118.864043	118.864043	0.000000	0.000000	118.864043	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-40.400000	117.825586	117.825586	0.000000	0.000000	117.825586	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-40.200000	116.790384	116.790384	0.000000	0.000000	116.790384	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-40.000000	115.758484	115.758484	0.000000	0.000000	115.758484	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-39.800000	114.729893	114.729893	0.000000	0.000000	114.729893	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-39.600000	113.704609	113.704609	0.000000	0.000000	113.704609	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-39.400000	112.682674	112.682674	0.000000	0.000000	112.682674	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-39.200000	111.664073	111.664073	0.000000	0.000000	111.664073	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-39.000000	110.648830	110.648830	0.000000	0.000000	110.648830	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-38.800000	109.636977	109.636977	0.000000	0.000000	109.636977	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-38.600000	108.628525	108.628525	0.000000	0.000000	108.628525	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-38.400000	107.623480	107.623480	0.000000	0.000000	107.623480	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-38.200000	106.621853	106.621853	0.000000	0.000000	106.621853	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-38.000000	105.623667	105.623667	0.000000	0.000000	105.623667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-37.800000	104.628948	104.628948	0.000000	0.000000	104.628948	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-37.600000	103.637702	103.637702	0.000000	0.000000	103.637702	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-37.400000	102.649935	102.649935	0.000000	0.000000	102.649935	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-37.200000	101.665679	101.665679	0.000000	0.000000	101.665679	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
