"Angle"	"Energy kJ/mol"	"BondedTermsEnergy"	"NonBondedTermsEnergy"	"BondStretchEnergy"	"AngleStretchEnergy"	"TorsionEnergy"	"OutOfPlaneEnergy"	"DispersionEnergy"	"ElectrostaticEnergy"	"NonBondedEnergyC"	"NonBondedEnergyD"
-60.000000	7890.905718	7161.379805	729.525913	5677.141610	1499.613325	-15.375130	0.000000	729.525913	0.000000	0.000000	0.000000
-59.800000	7811.893924	7108.126227	703.767696	5631.762456	1491.727270	-15.363499	0.000000	703.767696	0.000000	0.000000	0.000000
-59.600000	7734.010764	7055.080302	678.930462	5586.587197	1483.845679	-15.352573	0.000000	678.930462	0.000000	0.000000	0.000000
-59.400000	7657.225022	7002.243136	654.981885	5541.616824	1475.968666	-15.342354	0.000000	654.981885	0.000000	0.000000	0.000000
-59.200000	7581.507225	6949.616739	631.890486	5496.853080	1468.096497	-15.332839	0.000000	631.890486	0.000000	0.000000	0.000000
-59.000000	7506.825402	6897.199942	609.625460	5452.295022	1460.228949	-15.324029	0.000000	609.625460	0.000000	0.000000	0.000000
-58.800000	7433.149703	6844.992789	588.156914	5407.942718	1452.365992	-15.315921	0.000000	588.156914	0.000000	0.000000	0.000000
-58.600000	7360.453275	6792.996649	567.456626	5363.797364	1444.507801	-15.308516	0.000000	567.456626	0.000000	0.000000	0.000000
-58.400000	7288.707882	6741.211078	547.496804	5319.858615	1436.654275	-15.301812	0.000000	547.496804	0.000000	0.000000	0.000000
-58.200000	7217.891062	6689.639220	528.251842	5276.129163	1428.805863	-15.295806	0.000000	528.251842	0.000000	0.000000	0.000000
-58.000000	7147.974657	6638.279564	509.695092	5232.607740	1420.962323	-15.290498	0.000000	509.695092	0.000000	0.000000	0.000000
-57.800000	7078.933384	6587.131565	491.801820	5189.293916	1413.123534	-15.285886	0.000000	491.801820	0.000000	0.000000	0.000000
-57.600000	7010.746031	6536.197212	474.548819	5146.189399	1405.289780	-15.281967	0.000000	474.548819	0.000000	0.000000	0.000000
-57.400000	6943.387639	6485.475218	457.912421	5103.293112	1397.460845	-15.278738	0.000000	457.912421	0.000000	0.000000	0.000000
-57.200000	6876.837393	6434.966831	441.870562	5060.606115	1389.636914	-15.276198	0.000000	441.870562	0.000000	0.000000	0.000000
-57.000000	6811.076694	6384.674424	426.402270	5018.130413	1381.818354	-15.274344	0.000000	426.402270	0.000000	0.000000	0.000000
-56.800000	6746.083032	6334.596418	411.486613	4975.864694	1374.004897	-15.273172	0.000000	411.486613	0.000000	0.000000	0.000000
-56.600000	6681.836164	6284.732864	397.103300	4933.808986	1366.196558	-15.272680	0.000000	397.103300	0.000000	0.000000	0.000000
-56.400000	6618.319136	6235.085519	383.233616	4891.964775	1358.393608	-15.272864	0.000000	383.233616	0.000000	0.000000	0.000000
-56.200000	6555.512510	6185.653788	369.858722	4850.331550	1350.595959	-15.273721	0.000000	369.858722	0.000000	0.000000	0.000000
-56.000000	6493.399105	6136.438211	356.960894	4808.909763	1342.803694	-15.275247	0.000000	356.960894	0.000000	0.000000	0.000000
-55.800000	6431.962584	6087.439867	344.522716	4767.700284	1335.017021	-15.277438	0.000000	344.522716	0.000000	0.000000	0.000000
-55.600000	6371.185375	6038.657753	332.527622	4726.702277	1327.235766	-15.280290	0.000000	332.527622	0.000000	0.000000	0.000000
-55.400000	6311.053529	5990.093667	320.959862	4685.917226	1319.460241	-15.283800	0.000000	320.959862	0.000000	0.000000	0.000000
-55.200000	6251.549917	5941.746353	309.803565	4645.344049	1311.690266	-15.287962	0.000000	309.803565	0.000000	0.000000	0.000000
-55.000000	6192.661424	5893.617328	299.044096	4604.983986	1303.926114	-15.292773	0.000000	299.044096	0.000000	0.000000	0.000000
-54.800000	6134.374333	5845.707150	288.667183	4564.837477	1296.167900	-15.298227	0.000000	288.667183	0.000000	0.000000	0.000000
