// bond stretching parameters 09.05.2000 (based on Tripos 5.2 and MMFF94)
// [id #1] [id #2] [bondtype] [opt] [fc]

// wildcard atomtype is 0xFFFF !!!!!!!!!!!!!!!!!!!!!!!!!!!
// wildcard atomtype is 0xFFFF !!!!!!!!!!!!!!!!!!!!!!!!!!!
// wildcard atomtype is 0xFFFF !!!!!!!!!!!!!!!!!!!!!!!!!!!

// parameters containing those should be left last since the first matching
// one is chosen. that is, choose normal parameters if there is any matching
// one, and take wildcarded one only if there is no better choice...

// [opt] = Å
// [fc] = kcal/(mol * Å^2)

0x0602 0x0602 T 1.204 1400.0
0x0602 0x0602 S 1.380  700.0
0x2300 0x0601 S 1.890  500.0
0x0602 0x0601 S 1.440 1340.0
0x0602 0x0601 D 1.440 1340.0
0x0601 0x0601 D 1.335 1340.0
0x0601 0x0601 S 1.470  700.0
0x0602 0x0600 S 1.458  640.0
0x0601 0x0600 S 1.501  639.0
0x0600 0x0600 S 1.540  633.6
0x2300 0x0603 S 1.850  500.0
0x0602 0x0603 S 1.440 1340.0
0x0601 0x0603 S 1.510 1340.0
0x0600 0x0603 S 1.525  640.0
0x0603 0x0603 C 1.395 1400.0
0x0603 0x0603 S 1.480 1000.0
0x0601 0x1100 S 1.750  520.0
0x0600 0x1100 S 1.767  600.0
0x0603 0x1100 S 1.750  513.4
0x0601 0x2300 S 1.850  520.0
0x0600 0x2300 S 1.867  600.0
0x0603 0x2300 S 1.850  513.4
0x0601 0x0900 S 1.330 1200.0
0x0600 0x0900 S 1.360  600.0
0x0603 0x0900 S 1.330  500.0
0x0602 0x0100 S 1.056  700.0
0x0601 0x0100 S 1.089  692.0
0x0600 0x0100 S 1.100  662.4
0x0603 0x0100 S 1.084  692.0
0x0600 0x3500 S 2.050  490.0	//added 20050225
0x0601 0x3500 S 2.050  490.0	//added 20050225
0x0602 0x3500 S 2.050  490.0	//added 20050225
0x0603 0x3500 S 2.050  490.0
0x0602 0x0702 T 1.158 1600.0
0x0602 0x0701 S 1.330 1300.0
0x0602 0x0701 D 1.330 1300.0
0x0601 0x0701 D 1.270 1305.9
0x0601 0x0701 S 1.444 1300.0
0x0600 0x0701 S 1.440  760.2
0x0603 0x0701 S 1.346 1305.9
0x0701 0x0701 D 1.346 1305.9
0x0701 0x0701 S 1.418 1300.0
0x0601 0x0700 S 1.330 1300.0
0x0600 0x0700 S 1.470  760.0
0x0603 0x0700 S 1.410  720.0
0x0100 0x0700 S 1.080  692.0
0x0601 0x0704 S 1.330 1300.0
0x0600 0x0704 S 1.470  760.0
0x0603 0x0704 S 1.410  720.0
0x0601 0x0705 S 1.345  870.1
0x0600 0x0705 S 1.450  677.6
0x0603 0x0705 S 1.416 1090.1
0x0100 0x0705 S 1.000  700.0
0x0701 0x0705 S 1.440  667.6
0x0705 0x0705 S 1.450  744.5
0x0603 0x0703 C 1.346 1305.9
0x0703 0x0703 C 1.330 1400.0
0x0601 0x0801 D 1.220 1555.2
0x0705 0x0801 S 1.240 1120.0
0x0705 0x0801 D 1.210  680.0
0x0601 0x0800 S 1.330  699.8
0x0600 0x0800 S 1.430  618.9
0x0603 0x0800 S 1.390  700.0
0x0100 0x0800 S 0.950 1007.5
0x0701 0x0800 S 1.405 1200.0
0x0705 0x0800 S 1.400  620.0
0x0800 0x0800 S 1.480 1172.2
0x0600 0x0F00 S 1.830  407.6
0x0801 0x0F00 S 1.490 1400.0
0x0801 0x0F00 D 1.490 1400.0
0x0800 0x0F00 S 1.600  800.0
0x0601 0x1001 D 1.710  400.0
0x0600 0x1001 S 1.800  381.6
0x0603 0x1001 S 1.740  700.0
0x0601 0x1000 S 1.780  360.0
0x0600 0x1000 S 1.817  381.6
0x0603 0x1000 S 1.770  360.0
0x0700 0x1000 S 1.625  360.0
0x0704 0x1000 S 1.625  360.0
0x0801 0x1000 D 1.450  600.0
0x1000 0x1000 S 2.030  600.0
0x0601 0x1002 S 1.710  360.0
0x0600 0x1002 S 1.800  381.6
0x0801 0x1002 D 1.450  600.0
0x0800 0x1002 S 1.500  600.0
0x0600 0x1003 S 1.800  381.6
0x0801 0x1003 D 1.450  600.0
0x0800 0x1003 S 1.500  600.0

0xFFFF 0x0100 S 1.008  700.0

#end	// EOF !!!
