step,T,rz,Epot,prob_atom_crd[0],prob_atom_crd[1],prob_atom_crd[2],prob_atom_f[0],prob_atom_f[1],prob_atom_f[2],target_crd[0],target_crd[1],target_crd[2]
0,111.015,-0.5,37573,0,0,-0.5,-8187.68,5178.29,145502,0,0,0
10,33488.5,-0.49,27975.8,0,0,-0.49,-7658.93,5911.08,122464,0,0,0
20,82415.8,-0.48,14923.9,0,0,-0.48,-6462.12,5802.83,77855.1,0,0,0
30,99707.3,-0.47,10288,0,0,-0.47,-2230.71,350.714,29820.5,0,0,0
40,85838.7,-0.46,13608.7,0,0,-0.46,3170.07,-3448.43,12309.4,0,0,0
50,100525,-0.45,10009.8,0,0,-0.45,3288.45,-5566.88,1164.32,0,0,0
60,120622,-0.44,5301.95,0,0,-0.44,9712.23,-21374.5,-29127.3,0,0,0
70,79882,-0.43,15683.7,0,0,-0.43,18964.3,-12472.9,-11828.1,0,0,0
80,58158.4,-0.42,21311.3,0,0,-0.42,14883.4,-5515.81,-25265.3,0,0,0
90,61295.4,-0.41,21374.4,0,0,-0.41,12033.1,-11189.8,-22143.4,0,0,0
