step	T	Epot	Efull	E_solute	E_solvent	E_solusolv	NThroughZ	NThroughZmin	NThroughZmax	
0	0.509405	40.3659	40.3913	40.3659	0	0	0	0	0	
10	165.487	31.059	39.3146	31.059	0	0	0	0	0	
20	366.976	15.8972	34.2046	15.8972	0	0	0	0	0	
30	368.896	8.44115	26.8443	8.44115	0	0	0	0	0	
40	234.315	9.21513	20.9044	9.21513	0	0	0	0	0	
50	144.565	10.1684	17.3803	10.1684	0	0	0	0	0	
60	159.436	6.66313	14.6169	6.66313	0	0	0	0	0	
70	196.148	1.4196	11.2048	1.4196	0	0	0	0	0	
80	172.921	-1.0772	7.5493	-1.0772	0	0	0	0	0	
90	102.772	-0.295897	4.83107	-0.295897	0	0	0	0	0	
100	50.4717	0.873343	3.39123	0.873343	0	0	0	0	0	
110	47.1397	0.284776	2.63644	0.284776	0	0	0	0	0	
120	63.0288	-1.43298	1.71134	-1.43298	0	0	0	0	0	
130	61.2492	-2.45763	0.597913	-2.45763	0	0	0	0	0	
140	38.4271	-2.1923	-0.275286	-2.1923	0	0	0	0	0	
150	17.6529	-1.57178	-0.691123	-1.57178	0	0	0	0	0	
160	14.8021	-1.59697	-0.858537	-1.59697	0	0	0	0	0	
170	23.0812	-2.24446	-1.093	-2.24446	0	0	0	0	0	
180	25.7477	-2.74288	-1.4584	-2.74288	0	0	0	0	0	
190	17.8638	-2.66859	-1.77742	-2.66859	0	0	0	0	0	
200	8.44517	-2.33592	-1.91462	-2.33592	0	0	0	0	0	
210	8.11089	-2.23793	-1.8333	-2.23793	0	0	0	0	0	
220	14.3644	-2.52522	-1.80862	-2.52522	0	0	0	0	0	
230	18.7461	-2.83556	-1.90037	-2.83556	0	0	0	0	0	
240	15.9238	-2.80792	-2.01353	-2.80792	0	0	0	0	0	
250	10.1632	-2.5438	-2.03679	-2.5438	0	0	0	0	0	
260	8.51164	-2.40338	-1.97876	-2.40338	0	0	0	0	0	
270	12.7742	-2.58082	-1.94355	-2.58082	0	0	0	0	0	
280	16.9522	-2.84567	-1.99997	-2.84567	0	0	0	0	0	
290	15.5018	-2.86338	-2.09004	-2.86338	0	0	0	0	0	
300	10.6427	-2.64603	-2.1151	-2.64603	0	0	0	0	0	
310	10.0167	-2.46769	-1.96798	-2.46769	0	0	0	0	0	
320	14.1729	-2.55531	-1.84827	-2.55531	0	0	0	0	0	
330	19.4981	-2.79837	-1.82566	-2.79837	0	0	0	0	0	
340	19.9164	-2.86057	-1.867	-2.86057	0	0	0	0	0	
350	15.7893	-2.65876	-1.87108	-2.65876	0	0	0	0	0	
360	12.8971	-2.44247	-1.79907	-2.44247	0	0	0	0	0	
370	15.2784	-2.47829	-1.7161	-2.47829	0	0	0	0	0	
380	20.0766	-2.70902	-1.70746	-2.70902	0	0	0	0	0	
390	20.9721	-2.80936	-1.76313	-2.80936	0	0	0	0	0	
400	17.0703	-2.64172	-1.79014	-2.64172	0	0	0	0	0	
410	15.2134	-2.40133	-1.64238	-2.40133	0	0	0	0	0	
420	17.6576	-2.37269	-1.4918	-2.37269	0	0	0	0	0	
430	23.3829	-2.58792	-1.42142	-2.58792	0	0	0	0	0	
440	25.9829	-2.73723	-1.44102	-2.73723	0	0	0	0	0	
450	22.9125	-2.60189	-1.45885	-2.60189	0	0	0	0	0	
460	18.7955	-2.33781	-1.40015	-2.33781	0	0	0	0	0	
470	19.3386	-2.26327	-1.29853	-2.26327	0	0	0	0	0	
480	24.2604	-2.46081	-1.25053	-2.46081	0	0	0	0	0	
490	27.1888	-2.64468	-1.28831	-2.64468	0	0	0	0	0	
500	24.4911	-2.55459	-1.33279	-2.55459	0	0	0	0	0	
510	21.6947	-2.2882	-1.20592	-2.2882	0	0	0	0	0	
520	22.3253	-2.16193	-1.04819	-2.16193	0	0	0	0	0	
530	27.7977	-2.33372	-0.946978	-2.33372	0	0	0	0	0	
540	32.2377	-2.55894	-0.950695	-2.55894	0	0	0	0	0	
550	30.6576	-2.51803	-0.988611	-2.51803	0	0	0	0	0	
560	25.8848	-2.2515	-0.960188	-2.2515	0	0	0	0	0	
570	24.5756	-2.08915	-0.86314	-2.08915	0	0	0	0	0	
580	28.8816	-2.23296	-0.79214	-2.23296	0	0	0	0	0	
590	33.3539	-2.47876	-0.814833	-2.47876	0	0	0	0	0	
600	32.2751	-2.4883	-0.878191	-2.4883	0	0	0	0	0	
610	29.2001	-2.24192	-0.785213	-2.24192	0	0	0	0	0	
620	28.0867	-2.04248	-0.641315	-2.04248	0	0	0	0	0	
630	32.5236	-2.14646	-0.523951	-2.14646	0	0	0	0	0	
640	38.085	-2.41032	-0.510367	-2.41032	0	0	0	0	0	
650	38.2779	-2.47113	-0.561564	-2.47113	0	0	0	0	0	
660	33.6561	-2.24708	-0.568074	-2.24708	0	0	0	0	0	
670	30.7784	-2.02764	-0.492191	-2.02764	0	0	0	0	0	
680	33.7805	-2.09684	-0.411631	-2.09684	0	0	0	0	0	
690	38.9527	-2.35967	-0.416439	-2.35967	0	0	0	0	0	
700	39.5784	-2.46156	-0.48711	-2.46156	0	0	0	0	0	
710	36.9476	-2.26842	-0.425209	-2.26842	0	0	0	0	0	
720	34.4258	-2.02131	-0.303909	-2.02131	0	0	0	0	0	
730	37.2222	-2.03432	-0.177409	-2.03432	0	0	0	0	0	
740	42.9839	-2.28203	-0.137684	-2.28203	0	0	0	0	0	
750	44.8607	-2.41989	-0.181925	-2.41989	0	0	0	0	0	
760	41.0722	-2.25828	-0.20931	-2.25828	0	0	0	0	0	
770	37.0592	-2.00164	-0.152861	-2.00164	0	0	0	0	0	
780	38.2871	-1.97168	-0.0616526	-1.97168	0	0	0	0	0	
790	43.2491	-2.1909	-0.0333355	-2.1909	0	0	0	0	0	
800	45.3052	-2.34324	-0.0830954	-2.34324	0	0	0	0	0	
810	43.5526	-2.1988	-0.0260887	-2.1988	0	0	0	0	0	
820	39.9199	-1.90112	0.0903646	-1.90112	0	0	0	0	0	
830	40.653	-1.78401	0.244055	-1.78401	0	0	0	0	0	
840	45.8023	-1.94445	0.340493	-1.94445	0	0	0	0	0	
850	49.0503	-2.10098	0.346002	-2.10098	0	0	0	0	0	
860	46.3936	-1.97395	0.340493	-1.97395	0	0	0	0	0	
870	41.4472	-1.65354	0.414138	-1.65354	0	0	0	0	0	
880	40.553	-1.46979	0.553278	-1.46979	0	0	0	0	0	
890	44.7466	-1.57087	0.661405	-1.57087	0	0	0	0	0	
900	48.162	-1.71614	0.686521	-1.71614	0	0	0	0	0	
910	47.6683	-1.58886	0.789178	-1.58886	0	0	0	0	0	
920	43.1697	-1.20917	0.944441	-1.20917	0	0	0	0	0	
930	41.779	-0.917102	1.16713	-0.917102	0	0	0	0	0	
940	46.4392	-0.95398	1.36274	-0.95398	0	0	0	0	0	
