// lenjon-parameters 09.05.2000 (based on Tripos 5.2 and MMFF94)
// [id] [r] [k]

// [r] = Å
// [k] = kcal/mol

0x0100 1.50 0.042

0x0600 1.70 0.107
0x0601 1.70 0.107
0x0602 1.70 0.107
0x0603 1.70 0.107
0x0604 1.70 0.107
0x0605 1.70 0.107

0x0700 1.55 0.095
0x0701 1.55 0.095
0x0702 1.55 0.095
0x0703 1.55 0.095
0x0704 1.55 0.095
0x0705 1.55 0.095

0x0800 1.52 0.116
0x0801 1.52 0.116

0x0900 1.47 0.109

0x0F00 1.80 0.314

0x1000 1.80 0.314
0x1001 1.80 0.314
0x1002 1.80 0.314
0x1003 1.80 0.314

0x1100 1.75 0.314

0x2300 1.85 0.434

0x3500 1.98 0.623

#end	// EOF !!!
